product_name	ingredients_text	proteins_100g	energy_100g	fat_100g	saturated-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	fiber_100g	proteins_100g	calcium_100g	categories
Classic Gravy	Turkey stock (water, cooked turkey meat including natural turkey juices, salt, maltodextrin, dried onion, sugar, nonfat dry milk, autolyzed yeast extract, turkey fat, spices, natural flavors, citric acid, disodium inosinate and disodium guanylate), water,	0.0	167.0	1.61	0.0	0.0	0.0	4.84	0.0	0.0	0.0	0.0	Meals
Luvo, Chicken Chile Verde With Black Beans & Polenta	Cooked white meat chicken (chicken breast with rib meat, water, potato starch, sea salt), water, cooked black beans, tomatoes, tomatillo, queso quesaoilla (pasteurized whole milk, salt, enzymes, cheese cultures, potato starch), tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), yellow corn meal, corn, red bell peppers, contains less than 2% of caramel color, chilli powder (dried anaheim chilies), chipotle pepper puree (chipotle pepper, citric acid), cilantro, citric acid, coriander, cumin, dehydrated garlic, dehydrated onion, garlic, green bell peppers, green chili pepper, green onion, guar gum, jalapeno peppers, jalapeno peppers (jalapeno peppers, vinegar, salt, natural flavors), lemon juice concentrate, lime juice concentrate, natural flavors, onions, orange juice concentrate, oregano, paprika, paprika extract, parmesan cheese (pasteurized part-skim milk, cheese culture, salt, enzymes), parsley, poblano peppers, potato starch, red onions, roasted pumpkin seeds (pumpkin seeds, sunflower oil), seasoning (natural flavor, potassium chloride, yeast), spices, sunflower oil, thyme, tomato paste, xanthan gum, yellow corn masa flour (yellow corn masa flour, trace of lime).	8.83	444.0	3.89	1.41	0.0	0.019	9.54	1.77	2.1	8.83	0.053	Meals
Triple Chocolate Brownie Mix  3 Types Of Chocolate	Sugar, wheat flour (wheat flour, malted barley flour), chocolate liquor (chocolate liquor, cocoa processed with alkali), cocoa (processed with alkali), semisweet chocolate (chocolate liquor, sugar, cocoa butter, soy lecithin [an emulsifier], vanilla), milk chocolate (sugar chocolate liquor, milk, cocoa butter), soy lecithin [an emulsifier], vanilla), vanilla powder, salt, coffee powder.	7.41	1703.0	7.41	3.7	0.0	0.0	81.48	62.96	7.4	7.41	0.0	Sweets
Original Kettle Cooked Potato Chips	Potatoes, canola oil, salt.	9.39	1962.0	21.13	2.35	0.0	0.0	65.73	0.0	4.7	9.39	0.0	Snacks
Vegetarian Organic Traditional Refried Beans	(vegan): organic pinto beans, filtered water, organic onions, organic high oleic safflower and/or sunflower oil, sea salt, organic garlic, organic spices.	5.38	452.0	2.31	0.0	0.0	0.0	16.92	0.77	4.6	5.38	0.046	Meals
Petite Sirah 2013	Contient des _sulfites_.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Beverages
Mango Slices	Organic mango.	2.5	1360.0	1.25	0.0	0.0	0.0	85.0	75.0	10.0	2.5	0.05	Fresh
Batavia rouge Plein champ bio Les Paysans Bio de Provence	Batavia rouge Plein champ bio Cat:2 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fresh
Spring2o, 100% Natural Spring Water, Fruit Punch	Spring water high fructose corn, syrup, citric acid, natural flavor, sodium benzoate (preservative), potassium sorbate (preservative), and potassium citrate.	0.0	142.0	0.0	0.0	0.0	0.0	8.44	8.44	0.0	0.0	0.0	Beverages
Hot Salsa	Tomatoes, peppers, onions, garlic, cilantro, lemon juice, salt and spices.	0.0	197.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.062	Meals
Ice Cream	Milkfat and nonfat milk, buttermilk, fudge sauce (corn syrup, water, dried sweet whey, cocoa processed with alkali, modified corn starch, high fructose corn syrup), sugar, corn syrup, high fructose corn syrup, whey, natural & artificial flavors, mono & di	3.03	887.0	9.09	6.06	0.0	0.038	30.3	24.24	0.0	3.03	0.091	Sweets
Sunbeam, Honey Wheat Bread, Honey	Unbleached enriched wheat flour [flour, barley malt, niacin (vitamin b3), iron, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid (vitamin b9), water, yeast, sugar, whole wheat flour, honey, wheat gluten, wheat bran, contains 2% or less of the following: soybean oil, salt, dough conditioners (monoglycerides, sodium stearoyl lactylate, ethoxylated mono- and diglycerides, ascorbic acid), calcium propionate (to retain freshness), yeast nutrients (monoclacium phosphate, ammonium sulfate, calcium sulfate), sesame seeds, wheat starch, soy lecithin.	8.89	1021.0	3.33	0.0	0.0	0.0	46.67	8.89	2.2	8.89	0.089	Meals
Olive Oil	Extra virgin olive oil, pomegranate molasses.	0.0	3628.0	93.33	13.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Meals
Mini Wontons Pork & Vegetable	Wonton filling: pork, cabbage, onion, textured soy flour (water, soy flour), green onion, soy sauce (water, wheat, soybean, salt), sugar, salt, garlic, ginger, black pepper. wonton dough: wheat flour, water, wheat gluten, soybean oil, salt.	7.41	774.0	7.41	2.47	0.0	0.019	22.22	1.23	1.2	7.41	0.025	Meals
Earth Grains, Multigrain Bread	Water, enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), crushed wheat, light brown sugar, wheat bran, rye meal, rolled oats, wheat gluten, contains less than 2% of each of th	8.82	1109.0	4.41	0.0	0.0	0.0	50.0	8.82	5.9	8.82	0.118	Meals
South Texas Bbq Sauce	Water, fructose, sugar, molasses (refines syrup, cane molasses, cane caramel color), distilled white vinegar, tomato powder, modified food starch, salt, natural smoke flavor, spices (including celery), garlic and onion powder, caramel color, citric acid,	0.0	611.0	0.0	0.0	0.0	0.0	37.92	32.09	0.0	0.0	0.0	Meals
European Shortbread Cookies, Chocolate, Coconut	Wheat flour, vegetable fat (palm oil), milk chocolate 19% (sugar, cacao butter, whole milk powder, cacao mass, emulsifier: sunflower lecithin), sugar, shredded coconut 13% wheat starch, whole egg, caramelized sugar syrup, salt, natural flavor.	4.0	2343.0	36.0	24.0	0.0	0.0	56.0	24.0	4.0	4.0	0.0	Sweets
Mozzarella String Cheese	Pasteurized milk, cheese cultures, salt, enzymes.	25.0	1197.0	21.43	10.71	0.0	0.054	3.57	0.0	0.0	25.0	0.714	Snacks
Red Diamond, Organic Lightly Sweetened Tea	Water, organic cane sugar, organic orange pekoe and organic pekoe cut black tea.	0.0	105.0	0.0	0.0	0.0	0.0	6.25	5.83	0.0	0.0	0.0	Beverages
Green Pigeon Peas	Pigeon peas, water and salt.	3.2	234.0	0.0	0.0	0.0	0.0	11.2	0.0	3.2	3.2	0.016	Fresh
Tart Red Cherries, Cherries	Red tart cherries, corn syrup, sugar, sunflower oil.	2.5	1360.0	2.5	0.0	0.0	0.0	82.5	77.5	2.5	2.5	0.25	Fresh
Manzanilla Chamomile Flowers	Chamomile	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Beverages
Organic Pasta Sauce	Organic tomato puree, organic tomatoes, organic basil, organic soybean oil, salt, organic onions, organic garlic powder, organic oregano, organic garlic.	0.88	222.0	2.65	0.0	0.0	0.0	7.08	2.65	1.8	0.88	0.035	Meals
Whole Food Nutrition Bar	Organic brown rice syrup, organic rice protein, organic tapioca syrup, organic dates, organic almonds, organic pumpkin seed butter, amazing grass green superfood (organic wheat grass, organic barley grass, organic alfalfa, organic spirulina, organic spina	20.0	1674.0	15.0	5.0	0.0	0.0	53.33	33.33	6.7	20.0	0.067	Meals
Elbow Macaroni	Semolina wheat flour, niacin, iron (ferrous sulfate), thiamine mononitrate, riboflavin, folic acid.	12.31	1544.0	0.77	0.0	0.0	0.0	73.85	1.54	4.6	12.31	0.0	Meals
Italian Bread With Sesame Seeds	Enriched wheat flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, enzymes, folic acid), water, yeast, sesame seeds, salt, sugar, soybean oil, dough conditioners (datem, ascorbic acid, enzymes, l-cysteine), rye flour.	8.77	1100.0	3.51	0.0	0.0	0.0	47.37	1.75	3.5	8.77	0.035	Meals
Albert's Pizza, Roasted Vegan	Pizza dough (unbromated/unbleached enriched wheat flour, niacin, reduced iron, riboflavin, folic acid & unbromated/unbleached malted barley flour, fresh yeast),, pizza sauce (crushed tomatoes, citric acid, basil leaf, pepper, garlic, oregano, salt, sugar)	4.49	644.0	3.85	0.0	0.0	0.0	25.64	1.92	1.9	4.49	0.026	Meals
Fruit & Nut Bars, Almond & Coconut	Almonds, coconut, honey, glucose syrup, rice flour, soy lecithin, chicory root fiber, sugar, sea salt.	7.5	1987.0	30.0	12.5	0.0	0.0	52.5	30.0	7.5	7.5	0.1	Snacks
Apricots	Apricots, sulfur dioxide (preservative).	2.5	1046.0	0.0	0.0	0.0	0.0	62.5	52.5	7.5	2.5	0.05	Fresh
Farmhouse Gouda	Pasteurized part-skim milk, cultures, salt, enzymes, annatto.	25.0	1494.0	28.57	21.43	0.0	0.089	0.0	0.0	0.0	25.0	0.714	Snacks
Butter French Crumb Cake	Sugar, bleached wheat flour, water, eggs, butter (milk), soybean oil, palm oil modified cornstarch, whey, glycerin, molasses, dextrose, leavening (sodium acid pyrophosphate, baking soda, monocalcium phosphate), salt artifical flavor, mono-and diglycerides, glyceryl lactoesters of fatty acids, cinnamon, cornstarch, sorbitan monostearate, potassium sorbate (preservative), sodium stearoyl lactylate, xanthan gum, polysorbate 60, soy lecithin, cellulose gum, soy flour, caramel color, vitamin a palmitate, annatto color, beta carotene (color).	4.55	1774.0	21.21	9.09	0.0	0.076	54.55	24.24	1.5	4.55	0.03	Sweets
Dip Mix, Green Onion	Dehydrated green onion. whey (milk derivative), salt, parsley, monosodium glutamate, hydrolyzed corn gluten, partially hydrogenated soybean and cottonseed oil, spice, natural flavors, extractives of turmeric, and silicon dioxide.	0.0	1163.0	0.0	0.0	0.0	0.0	55.56	55.56	0.0	0.0	0.0	Meals
Pudding Snacks	Water, nonfat milk, sugar, modified corn starch, partially hydrogenated palm oil, cocoa (processed with alkali), less than 2% of: calcium carbonate, salt, sodium stearoyl lactylate, artificial flavor, color added.	1.09	502.0	2.72	1.09	0.0	0.0	21.74	14.13	2.2	1.09	0.326	Sweets
Three Saints Baking Company, Sweet Pecan Crunch	White confectionery coating (sugar, palm kernel oil, whole milk powder, reduced mineral whey powder, nonfat milk powder, soy lecithin [emulsifier], salt, vanilla), bleached wheat flour, brown sugar, vegetable shortening (partially hydrogenated soybean and	3.33	2230.0	33.33	20.0	3.33	0.0	53.33	36.67	3.3	3.33	0.0	Sweets
Truffle Almonds Snacks	Organic sprouted raw almonds, organic white truffle sea salt, probiotic blend of l. acidophilus, b. bifidum, b. lactis, b. longum.	21.43	2494.0	53.57	3.57	0.0	0.0	17.86	3.57	10.7	21.43	0.25	Snacks
Lemonhead, Lemon Candy	Sugar, corn syrup, citric acid, lemon juice from concentrate, confectioner's glaze (shellac), natural and artificial flavor, acacia (gum arabic) modified food starch (corn), carnauba wax, yellow 5, white mineral oil.	0.0	1636.0	0.0	0.0	0.0	0.0	95.65	78.26	0.0	0.0	0.0	Sweets
Microwave Popcorn	Popcorn, palm oil, salt, butter (milk), natural flavor, color added, tbhq and citric acid.	11.76	1845.0	7.35	2.94	0.0	0.0	82.35	0.0	11.8	11.76	0.0	Snacks
Mixed Nuts	Peanuts, almonds, cashews, sugar, pecans, canola and/or peanut and/or cottonseed oil, contains 2% or less of: honey, modified potato starch, sea salt, xanthan gum.	17.86	2389.0	46.43	5.36	0.0	0.0	28.57	14.29	7.1	17.86	0.143	Snacks
Brioche Hamburger Buns	Enriched malted wheat flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), eggs, butter, water, sugar, salt, milk, yeast, soybean oil.	11.58	1498.0	15.79	8.42	0.0	0.137	42.11	5.26	2.1	11.58	0.042	Meals
Quality Candies, Bears Candies, Chocolate Covered Cinnamon	Corn syrup, milk, chocolate (sugar, cocoa butter, dry whole milk, chocolate liquor, soy lecithin (added as an emulsifier), salt), sugar, corn starch-modified, artificial flavors, red #40.	0.0	1653.0	6.58	3.95	0.0	0.0	86.84	63.16	0.0	0.0	0.053	Sweets
White Corn Tortillas	Corn masa flour, water, contains 2% or less of: cellulose gum, guar gum, amylase, and propionic acid, benzoic acid and phosphoric acid (to maintain freshness).	4.26	891.0	3.19	0.0	0.0	0.0	42.55	4.26	6.4	4.26	0.043	Meals
Garlic & Herb Cooking & Grilling Sauce	Water, soybean oil, brown sugar, white vinegar, garlic puree (garlic, water, citric acid), salt, rosemary, lemon juice, parsley, tarragon, black pepper, oregano, xanthan gum.	0.0	1255.0	30.0	3.33	0.0	0.0	13.33	13.33	0.0	0.0	0.0	Meals
Deluxe Mixed Nuts	Cashews, almonds, brazil nuts, hazelnuts, pecans, peanut and/or canola and/or cottonseed oil, sea salt.	17.86	2540.0	53.57	7.14	0.0	0.0	21.43	3.57	7.1	17.86	0.143	Snacks
Oriental Mix	Rice cracked (glutinous rice, soy sauce [soy beans, wheat, salt, sugar], sugar, sesame seeds, seaweed, chili, yellow 5, yellow 6), peanuts, sesame sticks (unbleached wheat flour, soybean oil, sesame seeds, bulgur wheat, salt, beet powder, turmeric), wasabi green peans (green peas, corn starch, palm oil, sugar, salt, wasbi [mustard powder], yellow 5, blue 1), almonds, cashews, peanut oil and/or soybean oil, seasoning (salt, spices, onion powder, garlic powder, paprika, parsley, oleoresin paprika), salt	13.33	1954.0	23.33	3.33	0.0	0.0	53.33	3.33	6.7	13.33	0.067	Snacks
Hines Nut Co, Praline Pecans	Pecans, sugar (white & brown), non dairy creamer (partially hydrogenated soybean oil, corn syrup, solids, sodium caseinate, dipotassium phosphate, sugar, mono & diglycerides, sodium steroyl lactylate, salt, sodium calcium alginate, artificial color & flav	3.57	1795.0	25.0	1.79	0.0	0.0	53.57	46.43	3.6	3.57	0.0	Snacks
Cheese Snack Sticks, Medium Cheddar	Organic cultured pasteurized milk, salt, vegetarian enzymes.	23.81	1594.0	33.33	21.43	0.0	0.095	0.0	0.0	0.0	23.81	0.714	Snacks
Organic Salted Butter Made With Organic Sweet Cream	Pasteurized organic sweet cream, salt.	0.0	2987.0	78.57	50.0	0.0	0.214	0.0	0.0	0.0	0.0	0.0	Meals
Gingerbread Tree Decorating Kit	Pre-baked gingerbread: enriched wheat flour (flour, niacin, iron, ascorbic acid, thiamine mononitrate, riboflavin, folic acid), sugar, vegetable oil (palm), molasses, water, cinnamon, leavening (sodium bicarbonate), ginger, salt, caramel color. icings: su	3.23	1753.0	11.29	4.84	0.0	0.0	74.19	48.39	0.0	3.23	0.0	Sweets
Brioche Sandwich Rolls	Wheat flour (niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), water, eggs, margarine (palm oil, palm fractions, salt, emulsifier (soy lecithin, distilled monoglycerides), natural butter flavor, citric acid, antioxidant (mixed tocopherol	8.82	1724.0	14.71	5.88	0.0	0.051	60.29	8.82	2.9	8.82	0.029	Meals
Purified Water Beverage, Lemon	Purified water, contains less than 2% of natural flavor, citric acid, sodium citrate, sucralose sodium hexametaphosphate, potassium sorbate sodium benzoate to protect flavor.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Beverages
Potato Gnocchi	Rehydrated potatoes 70% [water, potato flakes (potatoes, emulsifiers: mono- and diglycerides of fatty acids, flavourings)], wheat flour, potato starch, rice flour, salt, acidity regulator: lactic acid, preservative: potassium sorbate, natural flavourings.	4.17	628.0	0.0	0.0	0.0	0.0	33.33	0.0	1.7	4.17	0.017	Meals
Organic Vegetable & Fruit Drink	Organic apple juice, organic carrot juice, organic red beet juice, water, organic lemon juice.	0.34	142.0	0.34	0.0	0.0	0.0	7.8	6.78	1.0	0.34	0.007	Beverages
Beef Broth	Water, beef stock powder, sea salt, natural flavor, yeast extract, garlic powder, gelatin (beef), torula yeast, maltodextrin (potato).	1.67	33.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	1.67	0.008	Meals
Small Sea Shells, Enriched Macaroni Product	Semolina, niacin, ferrous sulfate (iron). thiamine mononitrate, riboflavin, folic acid	12.5	1494.0	1.79	0.0	0.0	0.0	73.21	3.57	3.6	12.5	0.0	Meals
White Balsamic Vinegar	White wine vinegar, grape must.	0.0	556.0	0.0	0.0	0.0	0.0	33.33	26.67	0.0	0.0	0.0	Meals
miettes de thon	thon listao, huile de tournesol, sel, poisson	27.3	830.0	9.9	1.2	0.0	0.0	0.5	0.5	0.0	27.3	0.0	Meals
Joy, Chocolatey Dipped Ice Cream Cups	Ice cream cup (enriched wheat flour (contains niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), tapioca flour, sugar, vegetable oil shortening (soybean oil or canola oil, modified palm oil, soy lecithin), leavening (sodium bicarbonate, ammonium bicarbonate), salt, natural flavor, annatto (vegetable color)). confectionery coating (sugar, palm kernel oil, cocoa powder, whey powder, nonfat milk powder, palm oil, soy lecithin, vanilla).	9.09	1904.0	13.64	9.09	0.0	0.0	72.73	27.27	0.0	9.09	0.0	Sweets
Baby Pureed Food	Organic mango.	1.01	255.0	0.0	0.0	0.0	0.0	16.16	14.14	2.0	1.01	0.02	Meals
Organic Instant Oatmeal, Apple & Cinnamon	Organic rolled oats, organic dehydrated cane juice solids, organic dehydrated apples (treated with ascorbic acid, citric acid and calcium chloride to preserve color), organic cinnamon, natural flavor, salt.	10.0	1569.0	3.75	0.0	0.0	0.0	75.0	32.5	7.5	10.0	0.0	Meals
Beurre de Cacao Mycryo	Beurre de cacao	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Snacks
